id,name,country,antecedent_aerosol_aod,antecedent_aerosol_state,antecedent_moisture_kgm2,antecedent_moisture_state,antecedent_no2_molec_cm2,ifs_fog_prob,fog_prob_24h,fog_prob_48h,fog_prob_72h,spatial_coverage,stagnation_trend,stagnation_slope_ms,extreme_fog_tail_p95,ens_max_fog_index_peak,target_date,aer_p1,aer_p2,aer_p3,mois_p1,mois_p2,mois_p3,fog_p1,fog_p2,fog_p3,fog_p4,fog_p5,stag_p1,stag_p2,stag_p3,tail_p1,tail_p2,tail_p3,tail_p4
555N002,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,,Moderate,,Moderate,,0.4318,0.2636,0.1756,0.1436,0.4216,Stable,-0.296,0.6312,0.6368,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.2626,0.737,0.0004,0.0,0.2482,0.7478,0.004,0.0043,0.9869,0.0088,0.0
544N001,ANAKAPALLI,ANDHRA PRADESH,,Moderate,,Moderate,,0.4118,0.3726,0.1177,0.157,0.4002,Stable,-0.465,0.6047,0.6054,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.4067,0.5932,0.0001,0.0,0.4532,0.5461,0.0007,0.0182,0.98,0.0018,0.0
553,ANANTHAPURAMU,ANDHRA PRADESH,,Moderate,,Moderate,,0.6441,0.6147,0.6161,0.3626,0.7856,Stable,0.049,0.6345,0.6356,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.1887,0.8103,0.0009,0.0336,0.9,0.0664,0.0036,0.986,0.0104,0.0
555N005,ANNAMAYYA,ANDHRA PRADESH,,Moderate,,Moderate,,0.8954,0.8954,0.7223,0.5965,0.9167,Stable,-0.344,0.6339,0.6346,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0282,0.9718,0.3014,0.6961,0.0025,0.0037,0.9862,0.0101,0.0
555N004,BAPATLA,ANDHRA PRADESH,,Moderate,,Moderate,,0.8705,0.8705,0.1333,0.5293,0.7999,Stable,-0.386,0.6295,0.6308,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0792,0.9208,0.3518,0.6466,0.0016,0.0048,0.9872,0.008,0.0
554,CHITTOOR,ANDHRA PRADESH,,Moderate,,Moderate,,0.6984,0.6984,0.2915,0.3162,1.0,Stable,-0.27,0.6341,0.6358,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0245,0.9544,0.0211,0.2218,0.7731,0.0051,0.0036,0.9861,0.0103,0.0
545N002,DR.B.R.AMBEDKAR KONASEEMA,ANDHRA PRADESH,,Moderate,,Moderate,,0.147,0.0784,0.0,0.147,0.0,Stagnating,-0.588,0.5557,0.5578,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.8554,0.1446,0.0,0.0,0.0,0.6151,0.3848,0.0001,0.1325,0.8675,0.0001,0.0
545,EAST GODAVARI,ANDHRA PRADESH,,Moderate,,Moderate,,0.5883,0.5883,0.0343,0.2942,0.7501,Stable,-0.042,0.6229,0.6276,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0001,0.5926,0.4073,0.0,0.0632,0.9012,0.0355,0.007,0.9875,0.0055,0.0
555N003,ELURU,ANDHRA PRADESH,,Moderate,,Moderate,,0.778,0.778,0.2134,0.3509,0.7781,Stable,-0.043,0.6329,0.6343,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0002,0.6698,0.3301,0.064,0.9009,0.035,0.0039,0.9865,0.0096,0.0
548,GUNTUR,ANDHRA PRADESH,,Moderate,,Moderate,,0.9559,0.9559,0.201,0.6373,1.0,Stable,-0.154,0.6251,0.6268,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0009,0.9991,0.1247,0.8608,0.0146,0.0062,0.9876,0.0063,0.0
